timestamp,elapsed_time,Plastic_1_in_water_pixel_area,Plastic_1_in_water_area_cm2,Plastic_2_in_acid_pixel_area,Plastic_2_in_acid_area_cm2
20250410_123422,1.20,103174.0,4.160250255984383,101480.0,4.091943667758303
20250410_123432,11.23,103692.0,4.181137394532853,102303.0,4.125129218000372
20250410_123442,21.33,103899.0,4.189484185419984,102128.0,4.118072752274537
20250410_123452,31.46,103790.5,4.185109176669966,102255.0,4.1231937302584285
20250410_123503,41.59,103861.5,4.187972085621591,102567.0,4.1357744005810595
20250410_123513,51.59,103755.5,4.1836978835247995,102584.5,4.1364800471536425
20250410_123523,61.63,103793.0,4.185209983323192,102260.0,4.123395343564881
20250410_123533,71.68,103777.5,4.18458498207319,102044.0,4.114685648726136
20250410_123543,81.79,103659.5,4.179826908040913,102120.5,4.1177703323148585
20250410_123553,91.89,103625.0,4.178435776226391,102011.5,4.113375162234195
20250410_123603,102.09,103522.5,4.174302703444117,101853.0,4.106984020419654
20250410_123613,112.09,103379.5,4.168536562879577,101880.5,4.108092893605142
20250410_123623,122.13,103333.5,4.166681720460215,101800.0,4.104846919371258
20250410_123633,132.16,103291.5,4.164988168686015,101759.5,4.103213851588993
20250410_123643,142.19,103202.0,4.161379290500516,101715.0,4.101419493161567
20250410_123653,152.22,103155.0,4.159484125419864,101572.5,4.095673513927673
20250410_123703,162.25,103255.5,4.163536552879557,101564.5,4.095350932637349
20250410_123713,172.29,103139.0,4.158838962839217,101640.5,4.0984154548954255
20250410_123723,182.32,103020.5,4.154060727476294,101486.5,4.092205765056691
20250410_123733,192.35,103068.0,4.155976053887592,101479.5,4.0919235064276585
20250410_123743,202.44,103006.0,4.1534760488875815,101410.5,4.089141242798615
20250410_123753,212.49,102990.5,4.152851047637579,101458.5,4.091076730540558
20250410_123804,222.53,102987.0,4.152709918323063,101411.5,4.089181565459905
20250410_123814,232.63,102956.0,4.151459915823057,101380.0,4.087911401629254
20250410_123824,242.64,102946.5,4.151076850540798,101424.0,4.089685598726036
20250410_123834,252.68,102926.5,4.150270397314988,101391.0,4.08835495090345
20250410_123844,262.71,102912.5,4.1497058800569215,101316.5,4.085350912637309
20250410_123854,272.75,102862.5,4.1476897469923975,101380.0,4.087911401629254
20250410_123904,282.78,102875.5,4.148213941589174,101335.5,4.086117043201829
20250410_123914,292.88,102877.0,4.148274425581109,101367.0,4.087387207032479
20250410_123924,302.91,0,0.0,101325.5,4.085713816588924
20250410_123934,313.02,102842.0,4.146863132435943,101275.5,4.0836976835244
20250410_123944,323.12,102775.5,4.144181675460125,101377.0,4.087790433645383
20250410_123954,333.22,102827.0,4.146258292516585,101355.0,4.086903335096992
20250410_124004,343.25,102774.5,4.144141352798835,101192.0,4.080330741306644
20250410_124014,353.36,102821.0,4.146016356548842,101335.0,4.086096881871183
20250410_124024,363.39,102837.5,4.146681680460135,101304.0,4.084846879371178
20250410_124034,373.42,102805.5,4.14539135529884,101297.0,4.084564620742145
20250410_124044,383.45,102779.5,4.144342966105287,101199.5,4.080633161266323
20250410_124054,393.48,102766.0,4.143798610177866,101281.0,4.083919458161497
20250410_124105,403.58,102749.0,4.143113124935927,101245.5,4.082488003685684
20250410_124115,413.69,102688.5,4.140673603927853,101242.5,4.082367035701813
20250410_124125,423.79,102771.5,4.144020384814963,101210.5,4.081076710540518
20250410_124135,433.89,102760.0,4.143556674210123,101272.0,4.083556554209883
20250410_124145,443.92,102694.5,4.1409155398955955,101216.5,4.081318646508261
20250410_124155,453.95,102676.5,4.1401897319923675,101306.0,4.084927524693759
20250410_124205,464.06,102759.5,4.143536512879478,101228.5,4.081802518443746
